OGLE-GD-CEP-0011	F	4.3093358	0.419	0.330	4.542	0.143	2.836
OGLE-GD-CEP-0012	F1	0.6557444	0.194	0.178	4.246	0.042	3.206
OGLE-GD-CEP-0014	12	0.8472211	0.059	0.565	2.708	0.000	-99.99
OGLE-GD-CEP-0015	F	8.7467561	0.475	0.122	5.372	0.131	0.911
OGLE-GD-CEP-0016	1	1.9626461	0.286	0.153	4.727	0.023	-99.99
OGLE-GD-CEP-0017	1	1.9151023	0.270	0.066	4.808	0.079	1.147
OGLE-GD-CEP-0018	12	0.7146593	0.270	0.212	3.548	0.139	1.269
OGLE-GD-CEP-0019	F	3.3614297	0.580	0.446	4.508	0.244	2.816
OGLE-GD-CEP-0020	F	4.8248737	0.602	0.448	4.650	0.207	2.925
OGLE-GD-CEP-0021	F	2.8437201	0.496	0.474	4.475	0.263	2.767
OGLE-GD-CEP-0022	12	0.6531747	0.258	0.192	3.652	0.116	1.595
OGLE-GD-CEP-0023	F	3.0205459	0.298	0.354	4.543	0.150	2.770
OGLE-GD-CEP-0024	F	1.9642880	0.445	0.456	4.321	0.273	2.594
OGLE-GD-CEP-0025	F	9.1525206	0.480	0.166	5.681	0.161	5.432
OGLE-GD-CEP-0026	1	2.2105760	0.224	0.137	4.540	0.032	3.222
OGLE-GD-CEP-0027	F	2.1459374	0.830	0.528	4.216	0.360	2.374
OGLE-GD-CEP-0028	F	3.5635103	0.565	0.422	4.484	0.226	2.794
OGLE-GD-CEP-0029	F	5.9921586	0.266	0.344	4.901	0.089	3.501
OGLE-GD-CEP-0030	F	2.5218446	0.380	0.397	4.460	0.188	2.726
OGLE-GD-CEP-0031	F1	0.4055173	0.112	0.267	4.708	0.067	2.131
OGLE-GD-CEP-0032	1	0.3905318	0.262	0.199	2.948	0.112	0.452
OGLE-GD-CEP-0033	F	3.1811963	0.535	0.481	4.543	0.274	2.901
OGLE-GD-CEP-0034	1	2.1974002	0.254	0.143	4.683	0.028	3.952
OGLE-GD-CEP-0035	F	3.0872370	0.559	0.511	4.484	0.302	2.814
OGLE-GD-CEP-0036	F	1.5318564	0.477	0.447	4.304	0.254	2.409
OGLE-GD-CEP-0037	12	0.6407129	0.239	0.195	3.410	0.121	1.409
OGLE-GD-CEP-0038	1	1.9512216	0.241	0.160	4.477	0.026	2.791
OGLE-GD-CEP-0039	12	1.0966645	0.203	0.242	4.116	0.045	2.176
OGLE-GD-CEP-0040	1	1.1981949	0.171	0.157	4.177	0.045	2.096
OGLE-GD-CEP-0041	1	2.4974125	0.187	0.066	4.968	0.025	3.706
OGLE-GD-CEP-0043	F	4.8025020	0.478	0.446	4.809	0.201	3.368
OGLE-GD-CEP-0044	F	5.0905386	0.372	0.389	4.901	0.140	3.560
